Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,90.57,72.22,63.17,91.53,90.57,89.01,85.48
2,84.91,64.39,36.98,82.83,84.91,83.08,64.39
3,83.02,63.26,31.42,80.91,83.02,81.6,73.86
4,92.45,77.78,71.36,93.08,92.45,91.54,80.81
5,84.91,59.97,32.41,82.72,84.91,81.61,83.33
