Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,94.34,83.33,79.0,94.7,94.34,93.87,95.45
2,84.91,73.23,46.46,84.91,84.91,84.91,86.11
3,81.13,70.96,38.81,82.83,81.13,81.86,87.63
4,92.45,77.78,71.36,93.08,92.45,91.54,98.99
5,90.57,72.22,63.17,91.53,90.57,89.01,96.97
