Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,94.34,87.75,79.19,94.19,94.34,94.2,91.67
2,84.91,68.81,41.73,83.7,84.91,84.13,81.57
3,83.02,63.26,31.42,80.91,83.02,81.6,86.87
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,90.57,81.06,65.15,90.22,90.57,90.34,88.13
