Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,96.23,88.89,86.25,96.39,96.23,96.03,97.98
2,84.91,68.81,41.73,83.7,84.91,84.13,83.59
3,84.91,68.81,41.73,83.7,84.91,84.13,87.12
4,98.11,98.86,93.78,98.3,98.11,98.15,100.0
5,90.57,81.06,65.15,90.22,90.57,90.34,90.4
