Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,92.45,82.2,71.41,92.16,92.45,92.06,90.66
2,84.91,68.81,41.73,83.7,84.91,84.13,79.29
3,86.79,78.79,55.25,87.42,86.79,87.06,87.37
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,90.57,81.06,65.15,90.22,90.57,90.34,88.64
