Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,96.23,88.89,86.25,96.39,96.23,96.03,98.23
2,88.68,71.09,54.17,87.96,88.68,87.31,85.1
3,83.02,63.26,31.42,80.91,83.02,81.6,84.09
4,98.11,94.44,93.23,98.16,98.11,98.07,100.0
5,92.45,82.2,71.41,92.16,92.45,92.06,96.21
