Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,92.45,82.2,71.41,92.16,92.45,92.06,95.45
2,88.68,75.51,56.57,87.93,88.68,88.1,86.36
3,90.57,85.48,68.1,91.04,90.57,90.76,86.87
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,84.91,64.39,36.98,82.83,84.91,83.08,89.9
