Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,92.45,82.2,71.41,92.16,92.45,92.06,95.71
2,88.68,75.51,56.57,87.93,88.68,88.1,87.63
3,88.68,79.92,59.85,88.68,88.68,88.68,89.14
4,98.11,94.44,93.23,98.16,98.11,98.07,98.99
5,90.57,76.64,63.14,90.1,90.57,89.78,83.84
