Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,92.45,86.62,73.23,92.45,92.45,92.45,87.75
2,88.68,84.34,63.59,89.87,88.68,89.11,84.6
3,84.91,77.65,51.2,86.35,84.91,85.48,77.65
4,94.34,92.17,80.94,94.67,94.34,94.46,99.12
5,84.91,77.65,51.2,86.35,84.91,85.48,73.61
