Fold,Accuracy,BACC,MCC,Precision,Recall,F1-Score,AUC
1,94.34,83.33,79.0,94.7,94.34,93.87,99.24
2,86.79,69.95,47.28,85.51,86.79,85.69,83.84
3,81.13,66.54,33.08,81.13,81.13,81.13,84.09
4,96.23,97.73,88.37,96.91,96.23,96.37,100.0
5,90.57,81.06,65.15,90.22,90.57,90.34,91.67
